FECHA (YYMMDD);HORA (HHMM);;
100203;1000;6,825;
100203;1100;6,875;
100203;1200;7,89999;
100203;1300;7,55;
100203;1400;7,675;
100203;1500;7,95;
100203;1600;7,325;
100203;1700;6,95;
100203;1800;6,95;
100203;1900;6,925;
100203;2000;6,625;
100203;2100;6,575;
100203;2200;7,175;
100203;2300;6,85;
100204;0000;6,75;
100204;0100;7,25;
100204;0200;6,975;
100204;0300;6,825;
100204;0400;6,6;
100204;0500;6,45;
100204;0600;6,75;
100204;0700;7,77499;
100204;0800;9,29999;
100204;0900;10,325;
100204;1000;12,25;
100204;1100;13,05;
100204;1200;13,85;
100204;1300;14,575;
100204;1400;15,1;
100204;1500;14,45;
100204;1600;13,75;
100204;1700;12,525;
100204;1800;12,525;
100204;1900;11,625;
100204;2000;10,85;
100204;2100;10,35;
100204;2200;10,1;
100204;2300;9,47499;
100205;0000;9,14999;
100205;0100;9,14999;
100205;0200;8,45;
100205;0300;7,575;
100205;0400;7,925;
100205;0500;8,34999;
100205;0600;8,22499;
100205;0700;8,825;
100205;0800;9,89999;
100205;0900;10,65;
100205;1000;11,9;
100205;1100;12,975;
100205;1200;14,65;
100205;1300;15;
100205;1400;15,6;
100205;1500;15,3;
100205;1600;15,275;
100205;1700;13,9;
100205;1800;12,175;
100205;1900;10,825;
100205;2000;10,2;
100205;2100;10,15;
100205;2200;9,89999;
100205;2300;9,77499;
100206;0000;9,52499;
100206;0100;9,39999;
100206;0200;9,17499;
100206;0300;9,09999;
100206;0400;9;
100206;0500;8,95;
100206;0600;8,92499;
100206;0700;9,5;
100206;0800;10,425;
100206;0900;12,125;
100206;1000;13,775;
100206;1100;15,45;
100206;1200;15,375;
100206;1300;17,35;
100206;1400;18,75;
100206;1500;16,825;
100206;1600;13,125;
100206;1700;14,025;
100206;1800;13,125;
100206;1900;11,5;
100206;2000;10,625;
100206;2100;10,075;
100206;2200;9,2;
100206;2300;9,09999;
100207;0000;8,875;
100207;0100;9;
100207;0200;8,64999;
100207;0300;8,59999;
100207;0400;8,325;
100207;0500;7,975;
100207;0600;8,125;
100207;0700;8,75;
100207;0800;9,75;
100207;0900;10,9;
100207;1000;11,2;
100207;1100;11,65;
100207;1200;11,2;
100207;1300;11,475;
100207;1400;11,2;
100207;1500;10,625;
100207;1600;10,85;
100207;1700;10,925;
100207;1800;10,35;
100207;1900;9,67499;
100207;2000;9,27499;
100207;2100;9,125;
100207;2200;8,95;
100207;2300;8,75;
100208;0000;8,59999;
100208;0100;9,17499;
100208;0200;10,35;
100208;0300;10,875;
100208;0400;11,6;
100208;0500;12,05;
100208;0600;12,4;
100208;0700;12,625;
100208;0800;13,625;
100208;0900;14,025;
100208;1000;14,525;
100208;1100;14,475;
100208;1200;14,575;
100208;1300;15,575;
100208;1400;15,675;
100208;1500;16,2;
100208;1600;16,225;
100208;1700;14,95;
100208;1800;15,675;
100208;1900;15,375;
100208;2000;15,675;
100208;2100;15,15;
100208;2200;15,725;
100208;2300;16,775;
100209;0000;16,35;
100209;0100;14,525;
100209;0200;14,45;
100209;0300;12,35;
100209;0400;7,725;
100209;0500;8,075;
100209;0600;9,325;
100209;0700;9,04999;
100209;0800;7,55;
100209;0900;8,54999;
100209;1000;9,17499;
100209;1100;9,54999;
100209;1200;12,1;
100209;1300;13,325;
100209;1400;13,375;
100209;1500;11,95;
100209;1600;11,6;
100209;1700;9,02499;
100209;1800;7,02499;
100209;1900;8,02499;
100209;2000;8,17499;
100209;2100;8,7;
100209;2200;8,5;
100209;2300;7,675;
100210;0000;6,925;
100210;0100;7,35;
100210;0200;7,125;
100210;0300;6,7;
100210;0400;6,825;
100210;0500;7,175;
100210;0600;7,27499;
100210;0700;8,04999;
100210;0800;8,95;
100210;0900;9,575;
100210;1000;10,775;
100210;1100;11,6;
100210;1200;12,075;
100210;1300;12,425;
100210;1400;13,025;
100210;1500;12,2;
100210;1600;11,05;
100210;1700;10,225;
100210;1800;9,575;
100210;1900;8,97499;
100210;2000;8,5;
100210;2100;8,5;
100210;2200;8,52499;
100210;2300;8,25;
100211;0000;8,075;
100211;0100;8,34999;
100211;0200;8,17499;
100211;0300;8,27499;
100211;0400;8,25;
100211;0500;8,54999;
100211;0600;8,75;
100211;0700;10,2;
100211;0800;11,975;
100211;0900;13,425;
100211;1000;15,225;
100211;1100;15,5;
100211;1200;15,125;
100211;1300;16,225;
100211;1400;17,05;
100211;1500;17,6;
100211;1600;17,95;
100211;1700;16,925;
100211;1800;16,975;
100211;1900;14,075;
100211;2000;12,075;
100211;2100;11,175;
100211;2200;10,4;
100211;2300;10,3;
100212;0000;10,175;
100212;0100;9,5;
100212;0200;9,09999;
100212;0300;9,25;
100212;0400;9,5;
100212;0500;9,325;
100212;0600;9,64999;
