FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
141119;0000;10,5639;;;
141120;0000;;;;
141121;0000;9,40048;;;
141122;0000;15,2659;;;
141123;0000;8,62703;;;
141124;0000;7,67207;;;
141125;0000;6,58241;;;
141126;0000;14,0519;;;
141127;0000;11,9651;;;
141128;0000;20,0908;;;
141129;0000;12,3193;;;
141130;0000;9,26082;;;
141201;0000;9,56039;;;
141202;0000;9,87486;;;
141203;0000;6,60537;;;
141204;0000;7,12712;;;
141205;0000;7,20974;;;
141206;0000;7,63024;;;
141207;0000;;;;
141208;0000;11,9221;;;
141209;0000;15,4104;;;
141210;0000;23,0123;;;
141211;0000;6,87083;;;
141212;0000;12,3175;;;
141213;0000;6,92715;;;
141214;0000;8,32253;;;
141215;0000;5,13633;;;
141216;0000;6,0427;;;
141217;0000;6,31299;;;
141218;0000;14,0831;;;
141219;0000;11,7879;;;
141220;0000;15,2016;;;
141221;0000;16,9652;;;
141222;0000;7,52303;;;
141223;0000;6,95349;;;
141224;0000;8,16612;;;
141225;0000;6,39387;;;
141226;0000;11,1627;;;
141227;0000;11,4592;;;
141228;0000;11,3996;;;
141229;0000;9,18553;;;
141230;0000;14,8209;;;
141231;0000;22,2229;;;
150101;0000;24,0417;;;
150102;0000;11,2609;;;
150103;0000;6,41666;;;
150104;0000;7,79166;;;
150105;0000;7;;;
150106;0000;6,20833;;;
150107;0000;6,45833;;;
150108;0000;5,5;;;
150109;0000;5,125;;;
150110;0000;10,8333;;;
150111;0000;10,1667;;;
150112;0000;11,0417;;;
150113;0000;10,2083;;;
150114;0000;12,6667;;;
150115;0000;5,04166;;;
150116;0000;6,33333;;;
150117;0000;5,54166;;;
150118;0000;16,0833;;;
150119;0000;8,41666;;;
150120;0000;5,18182;;;
150121;0000;8,41666;;;
150122;0000;5,29166;;;
150123;0000;6,04166;;;
150124;0000;4,625;;;
150125;0000;4,20833;;;
150126;0000;7,73913;;;
150127;0000;7;;;
150128;0000;9,58333;;;
150129;0000;7,625;;;
150130;0000;4,91666;;;
150131;0000;4,79166;;;
150201;0000;5,625;;;
150202;0000;6,625;;;
150203;0000;7;;;
150204;0000;8,875;;;
150205;0000;5,08333;;;
150206;0000;10,0833;;;
150207;0000;7,125;;;
150208;0000;6,5;;;
150209;0000;6,33333;;;
150210;0000;5,125;;;
150211;0000;9,25;;;
150212;0000;11,75;;;
150213;0000;14;;;
150214;0000;11,3333;;;
150215;0000;11,8333;;;
150216;0000;7,16666;;;
150217;0000;15,6667;;;
150218;0000;16,3333;;;
150219;0000;11,4583;;;
150220;0000;14,1667;;;
150221;0000;19,75;;;
150222;0000;19,9167;;;
150223;0000;6,16666;;;
150224;0000;17,4167;;;
150225;0000;15,2083;;;
150226;0000;4,625;;;
150227;0000;13,6956;;;
150228;0000;6,5;;;
150301;0000;7,20833;;;
150302;0000;10,875;;;
150303;0000;8,33333;;;
150304;0000;8,375;;;
150305;0000;10,0417;;;
150306;0000;21,0417;;;
150307;0000;17,2083;;;
150308;0000;15,5;;;
150309;0000;26,25;;;
150310;0000;11,25;;;
150311;0000;19,7917;;;
150312;0000;21,8333;;;
150313;0000;7,08333;;;
150314;0000;11,9583;;;
150315;0000;21,125;;;
150316;0000;34,1739;;;
150317;0000;16,2917;;;
150318;0000;12,875;;;
150319;0000;22,625;;;
150320;0000;19,8695;;;
150321;0000;50,8333;;;
150322;0000;95,5833;;;
150323;0000;80,125;;;
150324;0000;58,7083;;;
150325;0000;92,375;;;
150326;0000;62,1739;;;
150327;0000;25,7083;;;
150328;0000;35,25;;;
150329;0000;11,5833;;;
150330;0000;17,6667;;;
150331;0000;19,75;;;
150401;0000;18,0417;;;
150402;0000;19,4167;;;
150403;0000;34,625;;;
150404;0000;32,4166;;;
150405;0000;162;;;
150406;0000;219,125;;;
150407;0000;210,75;;;
150408;0000;76,75;;;
150409;0000;26,75;;;
150410;0000;51,5416;;;
150411;0000;86,5416;;;
150412;0000;67,1304;;;
150413;0000;74,9166;;;
150414;0000;141,333;;;
150415;0000;177;;;
150416;0000;121,583;;;
150417;0000;50;;;
150418;0000;59;;;
150419;0000;27,875;;;
150420;0000;30,5417;;;
150421;0000;22,5417;;;
150422;0000;14,9167;;;
150423;0000;14,5417;;;
150424;0000;29,8333;;;
150425;0000;41,375;;;
150426;0000;73,2083;;;
150427;0000;152,792;;;
150428;0000;75,2916;;;
150429;0000;70;;;
150430;0000;33,4348;;;
150501;0000;52,1666;;;
150502;0000;39,9583;;;
150503;0000;20;;;
150504;0000;47,9166;;;
150505;0000;190,333;;;
150506;0000;312,125;;;
150507;0000;349,4;;;
150508;0000;345,75;;;
150509;0000;170,833;;;
150510;0000;92,0833;;;
150511;0000;141,542;;;
150512;0000;86,2083;;;
150513;0000;32,4583;;;
150514;0000;27,75;;;
150515;0000;59,6233;;;
150516;0000;42,2341;;;
150517;0000;47,1799;;;
150518;0000;203,836;;;
150519;0000;169,825;;;
150520;0000;87,8378;;;
150521;0000;23,8246;;;
150522;0000;50,8352;;;
150523;0000;27,1451;;;
150524;0000;18,5535;;;
150525;0000;32,4551;;;
150526;0000;131,332;;;
150527;0000;126,304;;;
150528;0000;87,7216;;;
150529;0000;27,3075;;;
150530;0000;58,6208;;;
150531;0000;85,4645;;;
150601;0000;57,5162;;;
150602;0000;114,469;;;
150603;0000;36,126;;;
150604;0000;110,908;;;
150605;0000;81,6902;;;
150606;0000;96,3704;;;
150607;0000;148,215;;;
150608;0000;154,198;;;
150609;0000;109,626;;;
150610;0000;28,6264;;;
150611;0000;27,4751;;;
150612;0000;38,1085;;;
150613;0000;54,9095;;;
150614;0000;24,4133;;;
150615;0000;25,6124;;;
150616;0000;34,3915;;;
150617;0000;39,3641;;;
150618;0000;112,331;;;
150619;0000;107,259;;;
150620;0000;42,6258;;;
150621;0000;38,7737;;;
150622;0000;169,776;;;
150623;0000;293,558;;;
150624;0000;438,278;;;
150625;0000;187,142;;;
150626;0000;98,4462;;;
150627;0000;26,475;;;
150628;0000;15,7381;;;
150629;0000;32,4202;;;
150630;0000;99,0461;;;
150701;0000;84,7657;;;
150702;0000;96,2616;;;
150703;0000;82,2303;;;
150704;0000;324,433;;;
150705;0000;132,047;;;
150706;0000;108,727;;;
150707;0000;115,386;;;
150708;0000;139,881;;;
150709;0000;76,8611;;;
150710;0000;56,0341;;;
150711;0000;38,1873;;;
150712;0000;49,0354;;;
150713;0000;38,7122;;;
150714;0000;25,1313;;;
150715;0000;62,947;;;
150716;0000;73,9032;;;
150717;0000;50,8032;;;
150718;0000;53,0295;;;
150719;0000;25,5508;;;
150720;0000;42,3912;;;
150721;0000;29,9077;;;
150722;0000;54,641;;;
150723;0000;51,5983;;;
150724;0000;89,6549;;;
150725;0000;100,828;;;
150726;0000;98,4395;;;
150727;0000;71,7399;;;
150728;0000;74,5646;;;
150729;0000;105,776;;;
150730;0000;81,9795;;;
150731;0000;151,789;;;
150801;0000;111,937;;;
150802;0000;94,2469;;;
150803;0000;68,2395;;;
150804;0000;149,523;;;
150805;0000;82,0037;;;
150806;0000;112,345;;;
150807;0000;103,696;;;
150808;0000;97,0686;;;
150809;0000;117,068;;;
150810;0000;122,529;;;
150811;0000;65,7048;;;
150812;0000;217,358;;;
150813;0000;218,87;;;
150814;0000;48,2662;;;
150815;0000;23,2727;;;
150816;0000;21,8732;;;
150817;0000;47,8856;;;
150818;0000;83,4315;;;
150819;0000;127,281;;;
150820;0000;233,934;;;
150821;0000;169,759;;;
150822;0000;60,6287;;;
150823;0000;109,539;;;
150824;0000;143,266;;;
150825;0000;118,293;;;
150826;0000;71,7979;;;
150827;0000;102,955;;;
150828;0000;73,0432;;;
150829;0000;34,2974;;;
150830;0000;;;;
150831;0000;;;;
150901;0000;107,562;;;
150902;0000;33,6645;;;
150903;0000;34,6495;;;
150904;0000;41,3199;;;
150905;0000;21,7054;;;
